countries,population
Gambia,"2,416,668"
Botswana,"2,351,627"
Gabon,"2,225,734"
Lesotho,"2,142,249"
North Macedonia,"2,083,374"
Slovenia,"2,078,938"
Guinea-Bissau,"1,968,001"
Latvia,"1,886,198"
Bahrain,"1,701,575"
Equatorial Guinea,"1,402,985"
Trinidad and Tobago,"1,399,488"
Estonia,"1,326,535"
Timor-Leste,"1,318,445"
Mauritius,"1,271,768"
Cyprus,"1,207,359"
Eswatini,"1,160,164"
Djibouti,"988,000"
Fiji,"896,445"
Réunion,"895,312"
Comoros,"869,601"
Guyana,"786,552"
Bhutan,"771,608"
Solomon Islands,"686,884"
Macao,"649,335"
Montenegro,"628,066"
Luxembourg,"625,978"
Western Sahara,"597,339"
Suriname,"586,632"
Cabo Verde,"555,987"
Micronesia,"548,914"
Maldives,"540,544"
Malta,"441,543"
Brunei ,"437,479"
Guadeloupe,"400,124"
Belize,"397,628"
Bahamas,"393,244"
Martinique,"375,265"
Iceland,"341,243"
Vanuatu,"307,145"
French Guiana,"298,682"
Barbados,"287,375"
New Caledonia,"285,498"
French Polynesia,"280,908"
Mayotte,"272,815"
Sao Tome & Principe,"219,159"
Samoa,"198,414"
Saint Lucia,"183,627"
Channel Islands,"173,863"
Guam,"168,775"
Curaçao,"164,093"
Kiribati,"119,449"
Grenada,"112,523"
St. Vincent & Grenadines,"110,940"
Aruba,"106,766"
Tonga,"105,695"
U.S. Virgin Islands,"104,425"
Seychelles,"98,347"
Antigua and Barbuda,"97,929"
Isle of Man,"85,033"
Andorra,"77,265"
Dominica,"71,986"
Cayman Islands,"65,722"
Bermuda,"62,278"
Marshall Islands,"59,190"
Northern Mariana Islands,"57,559"
Greenland,"56,770"
American Samoa,"55,191"
Saint Kitts & Nevis,"53,199"
Faeroe Islands,"48,863"
Sint Maarten,"42,876"
Monaco,"39,242"
Turks and Caicos,"38,717"
Saint Martin,"38,666"
Liechtenstein,"38,128"
San Marino,"33,931"
Gibraltar,"33,691"
British Virgin Islands,"30,231"
Caribbean Netherlands,"26,223"
Palau,"18,094"
Cook Islands,"17,564"
Anguilla,"15,003"
Tuvalu,"11,792"
Wallis & Futuna,"11,239"
Nauru,"10,824"
Saint Barthelemy,"9,877"
Saint Helena,"6,077"
Saint Pierre & Miquelon,"5,794"
Montserrat,"4,992"
Falkland Islands,"3,480"
Niue,"1,626"
Tokelau,"1,357"
Holy See,801
